Author 1,Author 2,Weights
Yinzhan Xu,Alex 'Sandy' Pentland,1.0
Yoshihiko Suhara,Alex 'Sandy' Pentland,1.0
Le Gruenwald,Laurent d'Orazio,1.0
Yali Wan,Neil O'Hare,1.0
Neil O'Hare,Yi Chang 0001,1.0
Yilin Wang,Neil O'Hare,1.0
A. Aziz Altowayan,Ashraf Elnagar,1.0
Aras Can Onal,A. Murat Ozbayoglu,1.0
A. Murat Ozbayoglu,Erdogan Dogdu,1.0
Gokberk Serin,A. Murat Ozbayoglu,1.0
A. Murat Ozbayoglu,Hakki Özgür Ünver,1.0
M. Ugur Gudelek,A. Murat Ozbayoglu,1.0
Omer Berat Sezer,A. Murat Ozbayoglu,1.0
A. P. Giri,Abhijin Adiga,1.0
Achla Marathe,A. P. Giri,1.0
Bowen Shi,A. P. Giri,1.0
A. P. Giri,G. Norton,1.0
A. P. Giri,K. S. Nitin,1.0
Lalit P. Sah,A. P. Giri,1.0
A. P. Giri,Luke A. Colavito,1.0
Madhav Marathe,A. P. Giri,1.0
A. P. Giri,R. Asokan,1.0
A. P. Giri,Rangaswamy Muniappan,1.0
Sichao Wu,A. P. Giri,1.0
Srinivasan Venkatramanan,A. P. Giri,1.0
Stephen G. Eubank,A. P. Giri,1.0
A. P. Giri,V. Sridhar,1.0
Cinar Kilcioglu,Aadharsh Kannan,1.0
Justin M. Rao,Aadharsh Kannan,1.0
Aadharsh Kannan,R. Preston McAfee,1.0
Ashequl Qadir,Aaditya Prakash,1.0
Aaditya Prakash,Joey Liu,1.0
Kathy Lee,Aaditya Prakash,1.0
Aaditya Prakash,Oladimeji Farri,1.0
Sadid A. Hasan,Aaditya Prakash,1.0
Vivek V. Datla,Aaditya Prakash,1.0
Adam Gray,Aakanksha Singh,1.0
Brittni Ballard,Aakanksha Singh,1.0
Carl Apgar,Aakanksha Singh,1.0
David Baasch,Aakanksha Singh,1.0
Keona Holden,Aakanksha Singh,1.0
Leigh Plummer,Aakanksha Singh,1.0
Luis Beteta,Aakanksha Singh,1.0
Marisa Gilman,Aakanksha Singh,1.0
Mayanka Jha,Aakanksha Singh,1.0
Aakanksha Singh,Namrata Walanj,1.0
Richard Marciano,Aakanksha Singh,1.0
Riss Hardcastle,Aakanksha Singh,1.0
